id,minute,xG,h_a,season,h_team,a_team,date,ScoredEarlier,ScoredPenEarlier,ScoredLater,ScoredPenLater,IsGoal,MyScore,OppScore
312723,55,0.025043100118637085,h,2019,Liverpool,Arsenal,2019-08-24 17:30:00,0,0,0,0,False,2,0
312727,61,0.08877450227737427,h,2019,Liverpool,Arsenal,2019-08-24 17:30:00,0,0,0,0,False,3,0
312729,68,0.07611189782619476,h,2019,Liverpool,Arsenal,2019-08-24 17:30:00,0,0,0,0,False,3,0
316007,22,0.06399089843034744,a,2019,Burnley,Liverpool,2019-08-31 17:30:00,0,0,1,0,False,0,0
316009,24,0.015384700149297714,a,2019,Burnley,Liverpool,2019-08-31 17:30:00,0,0,1,0,False,0,0
316015,57,0.12187500298023224,a,2019,Burnley,Liverpool,2019-08-31 17:30:00,0,0,1,0,False,1,0
316018,63,0.12071999907493591,a,2019,Burnley,Liverpool,2019-08-31 17:30:00,0,0,1,0,False,1,0
316023,79,0.1034889966249466,a,2019,Burnley,Liverpool,2019-08-31 17:30:00,0,0,0,0,True,1,0
317040,60,0.07791870087385178,h,2019,Liverpool,Newcastle United,2019-09-14 11:30:00,0,0,0,0,False,2,1
317043,62,0.02622709982097149,h,2019,Liverpool,Newcastle United,2019-09-14 11:30:00,0,0,0,0,False,2,1
321266,29,0.4955889880657196,a,2019,Chelsea,Liverpool,2019-09-22 15:30:00,0,0,0,0,True,1,0
321270,46,0.21973000466823578,a,2019,Chelsea,Liverpool,2019-09-22 15:30:00,1,0,0,0,False,2,0
324093,32,0.4919919967651367,h,2019,Liverpool,Leicester,2019-10-05 15:00:00,0,0,0,0,False,0,0
324101,64,0.09708250313997269,h,2019,Liverpool,Leicester,2019-10-05 15:00:00,0,0,0,0,False,1,0
324105,75,0.05256430059671402,h,2019,Liverpool,Leicester,2019-10-05 15:00:00,0,0,0,0,False,1,0
326441,9,0.052424199879169464,a,2019,Manchester United,Liverpool,2019-10-20 16:30:00,0,0,0,0,False,0,0
326446,28,0.0736474022269249,a,2019,Manchester United,Liverpool,2019-10-20 16:30:00,0,0,0,0,False,0,0
326447,33,0.12901699542999268,a,2019,Manchester United,Liverpool,2019-10-20 16:30:00,0,0,0,0,False,0,0
326453,76,0.05110739916563034,a,2019,Manchester United,Liverpool,2019-10-20 16:30:00,0,0,0,0,False,0,1
328009,26,0.04974279925227165,h,2019,Liverpool,Tottenham,2019-10-27 16:30:00,0,0,0,0,False,0,1
328015,46,0.4395889937877655,h,2019,Liverpool,Tottenham,2019-10-27 16:30:00,0,0,0,0,False,0,1
328021,56,0.11286400258541107,h,2019,Liverpool,Tottenham,2019-10-27 16:30:00,0,0,0,0,False,1,1
